Year,RM,Winter Wheat,Canola,Spring Wheat,Mustard,Durum,Sunflowers,Oats,Lentils,Peas,Barley,Fall Rye,Canary Seed,Spring Rye,Tame Hay,Flax,Chickpeas
2024,3,59.4,38.6,51.2,905,51.7,NA,99.3,549,36.8,83.3,35,NA,NA,NA,18.3,NA
2025,3,NA,48.2,55.6,NA,58.4,NA,110.5,1653,51,95.1,NA,1835,NA,NA,28.6,NA
1938,4,NA,NA,2,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,0,NA
1939,4,NA,NA,2,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA
1940,4,NA,NA,13,NA,NA,NA,24,NA,NA,25,NA,NA,NA,NA,6,NA
1941,4,NA,NA,23,NA,NA,NA,33,NA,NA,28,NA,NA,NA,NA,7,NA
1942,4,NA,NA,20,NA,NA,NA,38,NA,NA,31,13,NA,NA,NA,6,NA
1943,4,NA,NA,21,NA,NA,NA,34,NA,NA,28,9,NA,NA,NA,8,NA
1944,4,NA,NA,21,NA,NA,NA,33,NA,NA,23,8,NA,NA,NA,10,NA
1945,4,NA,NA,18,NA,NA,NA,33,NA,NA,23,9,NA,NA,NA,11,NA
1946,4,NA,NA,13,NA,NA,NA,28,NA,NA,19,8,NA,NA,NA,6,NA
1947,4,NA,NA,15,NA,NA,NA,31,NA,NA,20,16,NA,NA,NA,9,NA
1948,4,NA,NA,15,NA,NA,NA,27,NA,NA,18,11,NA,NA,NA,7,NA
1949,4,NA,NA,17,NA,NA,NA,32,NA,NA,21,11,NA,NA,NA,6,NA
1950,4,NA,NA,19,NA,NA,NA,45,NA,NA,29,19,NA,NA,NA,5,NA
1951,4,NA,NA,12,NA,NA,NA,20,NA,NA,16,14,NA,NA,NA,6,NA
1952,4,NA,NA,11,NA,NA,NA,34,NA,NA,23,11,NA,NA,NA,8,NA
1953,4,NA,NA,19,NA,NA,NA,40,NA,NA,28,24,NA,NA,NA,9,NA
1954,4,NA,NA,7,NA,NA,NA,23,NA,NA,22,23,NA,NA,NA,9,NA
1955,4,NA,NA,18,NA,NA,NA,31,NA,NA,24,25,NA,NA,NA,9,NA
1956,4,NA,NA,20,NA,NA,NA,38,NA,NA,29,10,NA,NA,NA,8,NA
1957,4,NA,NA,11,NA,NA,NA,16,NA,NA,16,15,NA,NA,NA,2,NA
1958,4,NA,NA,6,NA,NA,NA,7,NA,NA,8,12,NA,NA,NA,2,NA
1959,4,NA,NA,13,NA,NA,NA,21,NA,NA,19,13,NA,NA,NA,2,NA
1960,4,NA,NA,20,NA,NA,NA,33,NA,NA,27,28,NA,NA,NA,6,NA
1961,4,NA,NA,2,NA,NA,NA,0,NA,NA,1,5,NA,NA,NA,0,NA
1962,4,NA,NA,30,NA,NA,NA,59,NA,NA,51,28,NA,NA,NA,10,NA
1963,4,NA,NA,22,NA,NA,NA,46,NA,NA,30,19,NA,NA,NA,11,NA
1964,4,NA,NA,22,NA,NA,NA,40,NA,NA,27,17,NA,NA,NA,7,NA
1965,4,NA,NA,26,NA,NA,NA,50,NA,NA,35,27,NA,NA,NA,11,NA
1966,4,NA,NA,19,NA,NA,NA,34,NA,NA,24,23,NA,NA,NA,6,NA
1967,4,NA,NA,11,NA,NA,NA,27,NA,NA,19,14,NA,NA,NA,6,NA
1968,4,NA,NA,15,NA,NA,NA,27,NA,NA,23,18,NA,NA,NA,7,NA
1969,4,NA,NA,30,NA,NA,NA,58,NA,NA,44,17,NA,NA,NA,11,NA
1970,4,NA,14,21,NA,22,NA,52,NA,NA,35,22,NA,NA,NA,12,NA
1971,4,NA,19,29,NA,29,NA,55,NA,NA,47,23,NA,NA,NA,13,NA
1972,4,NA,19,23,NA,23,NA,50,NA,NA,35,21,NA,NA,NA,13,NA
1973,4,NA,23,24,NA,23,NA,51,NA,NA,39,22,NA,NA,NA,12,NA
1974,4,NA,14,22,NA,21,NA,39,NA,NA,33,22,NA,NA,NA,11,NA
1975,4,NA,14,24,NA,23,NA,40,NA,NA,32,18,NA,NA,NA,12,NA
1976,4,NA,28,26,NA,24,NA,49,NA,NA,36,21,NA,NA,NA,13,NA
1977,4,NA,12,22,NA,21,NA,36,NA,NA,30,18,NA,NA,NA,10,NA
1978,4,NA,17,30,NA,29,NA,53,NA,NA,42,26,NA,NA,NA,16,NA
1979,4,NA,13,20,NA,14,NA,28,NA,NA,25,23,NA,NA,NA,6,NA
1980,4,NA,13,18,NA,22,NA,55,NA,NA,33,22,NA,NA,NA,9,NA
1981,4,NA,18,22,NA,18,NA,40,NA,NA,25,24,NA,NA,NA,11,NA
1982,4,NA,NA,27,NA,18,NA,62,NA,NA,36,31,NA,NA,NA,17,NA
1983,4,NA,17.5,19.8,NA,22.4,NA,44.2,NA,NA,30,26.5,NA,NA,NA,14,NA
1984,4,NA,14.5,15.7,NA,14,NA,25.4,NA,NA,21.6,18.5,NA,NA,1.83,9.3,NA
1985,4,NA,17.5,16.8,NA,16.4,NA,33.3,NA,NA,27,14.9,NA,NA,1,7.8,NA
1986,4,NA,21,32.6,NA,32.5,NA,68.1,NA,NA,61.4,29.1,NA,NA,2.3,17.5,NA
1987,4,NA,16,23.3,NA,21,NA,43.8,NA,NA,33,19.5,NA,NA,1.62,13,NA
1988,4,NA,13,11,NA,10.4,NA,21,NA,NA,17.5,10,NA,NA,0.62,11,NA
1989,4,NA,8,14.8,NA,15.5,NA,20,NA,NA,20,21.2,NA,NA,1.07,5.3,NA
1990,4,NA,NA,25.9,NA,26.7,NA,60,NA,NA,36.7,25,NA,NA,0.8,16,NA
1991,4,NA,NA,21.2,NA,23.5,NA,60.9,NA,NA,36.9,36.5,NA,NA,1.15,12,NA
1992,4,30,29.6,31,NA,38.2,NA,35,NA,NA,40,20,NA,NA,0.33,12,NA
1993,4,30,NA,28.1,1223,30.2,747,52.8,NA,NA,42.1,22,NA,NA,0.75,15,NA
1994,4,25,20,19.4,785,17.7,922,41.3,NA,15,30,25,NA,NA,2,20,NA
1995,4,NA,14.1,23.7,681,23,1300,50,NA,26.4,40,30,450,NA,1.96,20.1,NA
1996,4,NA,16.8,24.7,839,27,1200,43,851,23.6,37.8,16.8,NA,0,1.8,17.2,NA
1997,4,NA,9.4,17.9,660,18,NA,33.2,NA,16.9,27.3,22.3,NA,NA,1.2,12.6,NA
1998,4,NA,19.4,20.6,826.4,22.4,1100,51.8,NA,27.1,42.2,26,NA,NA,NA,16.4,NA
1999,4,30,20.7,19.6,716.2,20.8,NA,47.9,1500,29.1,38.4,29.6,NA,NA,NA,16.3,NA
2000,4,NA,23.8,22.9,786.6,29.3,NA,45.3,722.9,33.3,40.8,NA,NA,NA,NA,14,NA
2001,4,NA,18.6,22.8,791,23.5,NA,47.8,960,24,33.1,20.2,NA,NA,NA,14.3,NA
2002,4,NA,19.8,23.9,484,28.7,NA,40.6,NA,22.2,28.9,NA,NA,NA,NA,15.9,NA
2003,4,NA,15.7,21.6,647,18.4,662,42.6,NA,19.5,34.1,21.3,806,NA,NA,12.6,NA
2004,4,NA,23.4,26.6,682,27.5,NA,46.5,NA,26.4,59,NA,885,NA,NA,16.9,NA
2005,4,NA,25.3,35.6,NA,36,NA,51.5,NA,18.7,39.7,NA,1205,NA,NA,21,NA
2006,4,NA,18.9,30.3,NA,32.5,NA,42.3,NA,26.6,49.3,NA,NA,NA,NA,19.3,NA
2007,4,NA,20.3,28,750,23.9,NA,42.6,NA,30.3,53.4,NA,NA,NA,NA,16.5,NA
2008,4,NA,22.9,29.6,NA,26.2,NA,39.8,NA,26.4,40.8,NA,NA,NA,NA,17.4,NA
2009,4,NA,24.9,33.9,NA,29.9,NA,NA,NA,25.9,44.2,NA,NA,NA,NA,18.4,NA
2010,4,56.9,27.9,32.3,809,27.4,NA,58.7,790,25.1,44.3,NA,767,NA,NA,15.2,NA
2011,4,42.2,19.5,21.7,NA,30.2,NA,35.6,NA,NA,29.1,32.7,660,NA,NA,19.1,NA
2012,4,52.8,21.6,31.6,NA,31,NA,31.9,NA,29.7,46.8,NA,NA,NA,NA,18.7,NA
2013,4,40.7,31.3,42.2,1001,31.9,NA,37.3,716,28.3,37,NA,1155,NA,NA,22.4,NA
2014,4,28.21,32.7,43.42,1191.58,41.34,0,53.66,NA,32.6,68.15,20.31,1038.37,0,0,20.16,NA
2015,4,30.22,25.39,28.78,NA,23.53,NA,47.87,1406.96,27.8,38.62,NA,875.25,NA,NA,14.76,NA
2016,4,45.5,35.6,45.4,720,42.6,NA,106.7,1178,31.2,43.8,50,NA,NA,NA,28.1,NA
2017,4,NA,29.46,39.11,NA,36.54,NA,61.16,1405.62,36.6,50.42,NA,NA,NA,NA,21.33,NA
2018,4,NA,36,46,NA,46,NA,NA,979,38,50.4,NA,NA,NA,NA,21,NA
2019,4,NA,39.1,44.3,633,57,NA,68.9,1742,38.7,58.7,NA,NA,NA,NA,19.3,NA
2020,4,NA,33.3,45.6,NA,51.6,NA,NA,2061,43.2,51,NA,1495,NA,NA,25,NA
2021,4,NA,33.3,48,NA,44,NA,62.7,1958,34.1,47.3,NA,NA,NA,NA,23.5,NA
2022,4,50,34.8,46.4,1500,52.2,NA,74.5,1641.8,30.9,68.3,40,1250,NA,NA,27.5,1500
2023,4,30,30.8,33.3,NA,32.7,NA,80,1366.9,38.4,45,20,NA,NA,NA,26.4,NA
2024,4,NA,28.8,43.9,NA,45.7,NA,88.9,1373,20.3,64.1,NA,1360,NA,NA,26.3,NA
2025,4,NA,43.9,55.9,1401,51.1,NA,110.2,2096,49.3,92.4,NA,2150,NA,NA,31.6,NA
1938,5,NA,NA,2,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,1,NA
1939,5,NA,NA,3,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,0,NA
1940,5,NA,NA,10,NA,NA,NA,24,NA,NA,20,NA,NA,NA,NA,6,NA
1941,5,NA,NA,20,NA,NA,NA,34,NA,NA,27,NA,NA,NA,NA,5,NA
1942,5,NA,NA,22,NA,NA,NA,37,NA,NA,33,12,NA,NA,NA,3,NA
1943,5,NA,NA,18,NA,NA,NA,30,NA,NA,21,10,NA,NA,NA,6,NA
1944,5,NA,NA,21,NA,NA,NA,37,NA,NA,22,10,NA,NA,NA,12,NA
1945,5,NA,NA,16,NA,NA,NA,30,NA,NA,21,7,NA,NA,NA,9,NA
1946,5,NA,NA,12,NA,NA,NA,24,NA,NA,17,7,NA,NA,NA,5,NA
1947,5,NA,NA,11,NA,NA,NA,17,NA,NA,15,12,NA,NA,NA,5,NA
1948,5,NA,NA,11,NA,NA,NA,25,NA,NA,18,9,NA,NA,NA,8,NA
1949,5,NA,NA,13,NA,NA,NA,15,NA,NA,13,13,NA,NA,NA,4,NA
1950,5,NA,NA,19,NA,NA,NA,43,NA,NA,26,13,NA,NA,NA,6,NA
1951,5,NA,NA,10,NA,NA,NA,11,NA,NA,10,10,NA,NA,NA,5,NA
1952,5,NA,NA,13,NA,NA,NA,34,NA,NA,22,9,NA,NA,NA,9,NA
1953,5,NA,NA,17,NA,NA,NA,38,NA,NA,25,14,NA,NA,NA,9,NA
1954,5,NA,NA,6,NA,NA,NA,24,NA,NA,18,20,NA,NA,NA,9,NA
1955,5,NA,NA,17,NA,NA,NA,30,NA,NA,26,17,NA,NA,NA,6,NA
1956,5,NA,NA,7,NA,NA,NA,38,NA,NA,25,8,NA,NA,NA,7,NA
1957,5,NA,NA,9,NA,NA,NA,11,NA,NA,13,10,NA,NA,NA,2,NA
1958,5,NA,NA,6,NA,NA,NA,9,NA,NA,7,7,NA,NA,NA,2,NA
1959,5,NA,NA,9,NA,NA,NA,15,NA,NA,14,8,NA,NA,NA,1,NA
1960,5,NA,NA,18,NA,NA,NA,34,NA,NA,27,30,NA,NA,NA,5,NA
1961,5,NA,NA,1,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,0,NA
1962,5,NA,NA,22,NA,NA,NA,43,NA,NA,31,27,NA,NA,NA,8,NA
1963,5,NA,NA,22,NA,NA,NA,47,NA,NA,37,20,NA,NA,NA,10,NA
1964,5,NA,NA,22,NA,NA,NA,49,NA,NA,35,18,NA,NA,NA,7,NA
1965,5,NA,NA,25,NA,NA,NA,45,NA,NA,40,19,NA,NA,NA,13,NA
1966,5,NA,NA,17,NA,NA,NA,28,NA,NA,21,17,NA,NA,NA,7,NA
1967,5,NA,NA,7,NA,NA,NA,15,NA,NA,13,11,NA,NA,NA,3,NA
1968,5,NA,NA,8,NA,NA,NA,13,NA,NA,9,13,NA,NA,NA,5,NA
1969,5,NA,NA,28,NA,NA,NA,50,NA,NA,39,22,NA,NA,NA,13,NA
1970,5,NA,NA,18,NA,19,NA,46,NA,NA,32,23,NA,NA,NA,11,NA
1971,5,NA,18,27,NA,26,NA,52,NA,NA,45,24,NA,NA,NA,10,NA
1972,5,NA,NA,25,NA,26,NA,53,NA,NA,40,20,NA,NA,NA,13,NA
1973,5,NA,0,23,NA,22,NA,43,NA,NA,37,20,NA,NA,NA,12,NA
1974,5,NA,NA,20,NA,20,NA,40,NA,NA,32,22,NA,NA,NA,10,NA
1975,5,NA,18,22,NA,22,NA,40,NA,NA,32,20,NA,NA,NA,11,NA
1976,5,NA,NA,24,NA,23,NA,47,NA,NA,34,23,NA,NA,NA,14,NA
1977,5,NA,NA,22,NA,21,NA,36,NA,NA,31,18,NA,NA,NA,10,NA
1978,5,NA,NA,32,NA,31,NA,58,NA,NA,43,28,NA,NA,NA,14,NA
1979,5,NA,20,19,NA,18,NA,39,NA,NA,31,25,NA,NA,NA,16,NA
1980,5,NA,14,26,NA,25,NA,50,NA,NA,30,10,NA,NA,NA,9,NA
1981,5,NA,18,24,NA,22,NA,46,NA,NA,34,25,NA,NA,NA,11,NA
1982,5,NA,17,23,NA,22,NA,40,NA,NA,32,23,NA,NA,NA,16,NA
1983,5,NA,10,17.5,NA,16.4,NA,30.4,NA,NA,25.4,20.6,NA,NA,NA,13.5,NA
1984,5,NA,10,13.8,NA,12.2,NA,20,NA,NA,20.7,14.8,NA,NA,0.52,6.7,NA
1985,5,NA,10,12.6,NA,11.1,NA,27.5,NA,NA,19,10.3,NA,NA,0.43,10,NA
1986,5,NA,27.5,33.9,NA,33,NA,65.6,NA,NA,53.5,27.1,NA,NA,2,17.7,NA
1987,5,NA,10,20.7,NA,19.6,NA,53.3,NA,NA,37.1,23,NA,NA,0.9,7.8,NA
1988,5,NA,12,8.1,NA,9.3,NA,19,NA,NA,18.4,8,NA,NA,0.46,8,NA
1989,5,NA,6,12.5,NA,10.3,NA,17.3,NA,NA,13.7,21,NA,NA,0.38,5.5,NA
1990,5,NA,NA,29.5,NA,31.6,NA,55,NA,NA,35,31,NA,NA,2,22,NA
1991,5,NA,NA,26.1,NA,21.5,NA,45,NA,NA,40,21.9,NA,NA,0.87,8,NA
1992,5,NA,30,35.1,1500,36,NA,50.7,NA,NA,37.6,24.6,NA,NA,0.75,14.2,NA
1993,5,NA,NA,31.4,1530,31.2,NA,62.8,NA,NA,49.7,20,NA,NA,1,NA,NA
1994,5,NA,19.5,25.8,893,24.4,NA,54.2,1796,25,55,23,NA,NA,1.5,18,NA
1995,5,27,17,24.3,442,24.2,NA,53.5,1100,20,30,20,350,NA,1.3,17.8,NA
1996,5,25,23.6,25,715,26,950,57.3,1198,20.1,52.5,NA,800,0,1,19,NA
1997,5,NA,15.1,20.6,881.5,20.8,NA,34.8,NA,27.2,41.6,15,NA,NA,0.6,11.2,NA
1998,5,NA,19.6,22.9,849.3,24.2,NA,46.3,1238.4,32.5,43.9,14.9,NA,NA,NA,16.5,NA
1999,5,25,18,18.7,1062.8,25.8,1100,41.1,1177.2,30.7,36.5,20.6,1100,NA,NA,18.5,NA
2000,5,50,24.9,24.8,1007.9,29.6,1300,40.5,899.1,30.3,43.7,25.6,900,NA,NA,13.7,NA
2001,5,25,17.9,21.4,917,21.8,1300,44.4,908,29.8,32.6,18.5,900,NA,NA,17.4,NA
2002,5,15,13.4,22.2,586,18.4,1200,41.5,724,23.9,31.6,22.5,569,NA,NA,15.9,NA
2003,5,35,7.7,18.5,399,19,1400,34,822,17.1,30.1,24.8,464,NA,NA,8.3,NA
2004,5,NA,25.6,32.3,525,28.7,NA,71.1,1091,NA,52.6,NA,551,NA,NA,12.8,NA
2005,5,NA,24,28.9,767,32.4,NA,52.3,NA,NA,50.7,NA,NA,NA,NA,18.7,NA
2006,5,NA,20.9,27.1,NA,33.5,NA,40,NA,30.2,50,NA,NA,NA,NA,16.2,NA
2007,5,NA,22.1,26.6,NA,36.8,NA,54.2,NA,46.3,52.2,NA,NA,NA,NA,19.3,NA
2008,5,NA,23.4,28.5,NA,26.8,NA,31.1,NA,25.8,44.1,NA,NA,NA,NA,16.4,NA
2009,5,NA,33,32,NA,33.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA
2010,5,48.5,29.8,27.1,924,31,NA,56.9,928,25.7,60.6,NA,NA,NA,NA,19.6,NA
2011,5,NA,17.2,21.7,NA,20.9,NA,NA,530,19.2,NA,NA,NA,NA,NA,13,NA
2012,5,45,26.8,29,345,27.3,NA,NA,1516,35,44,NA,NA,NA,NA,18,NA
2013,5,33.4,35.1,34.6,936,44.5,NA,67,NA,33.7,47.4,NA,NA,NA,NA,16.5,NA
2014,5,17.86,31.02,35.57,994.27,34.55,0,82.5,NA,35.4,72.35,NA,798.07,0,0,17.79,NA
2015,5,34.31,30.6,31.26,367.51,36.55,NA,NA,1204.96,32.5,49,NA,NA,NA,NA,22.05,NA
2016,5,50.1,32.1,26.5,519,45,NA,NA,1274,32.5,76.8,NA,NA,NA,NA,22.9,NA
2017,5,NA,24.72,35.69,NA,29.55,NA,NA,1473.01,30.1,NA,NA,NA,NA,NA,17,NA
2018,5,NA,29.9,39.1,NA,49,NA,NA,1579,34,72,NA,NA,NA,NA,25,NA
2019,5,NA,33.9,43.3,NA,44.5,NA,48,1380,37,58.2,NA,NA,NA,NA,14.6,NA
2020,5,NA,34.8,47.6,NA,50.8,NA,NA,1583,41.9,83.4,NA,NA,NA,NA,27.4,NA
2021,5,NA,28.7,39.8,NA,40.3,NA,NA,1634,35.2,64.4,NA,NA,NA,NA,18,NA
2022,5,NA,42.2,37.6,782.6,52.6,NA,NA,1571.9,38.5,84.6,NA,NA,NA,NA,28,NA
2023,5,NA,23.9,40.2,NA,33.5,NA,NA,1269.9,32.7,50,NA,NA,NA,NA,29.2,NA
2024,5,NA,29.5,47.6,NA,40.7,NA,NA,1523,33.6,52.1,NA,NA,NA,NA,18.4,NA
2025,5,NA,47.6,57.1,NA,53.9,NA,NA,1885,46.9,73.2,NA,NA,NA,NA,31.3,NA
1938,6,NA,NA,4,NA,NA,NA,15,NA,NA,17,NA,NA,NA,NA,3,NA
1939,6,NA,NA,2,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,0,NA
1940,6,NA,NA,8,NA,NA,NA,17,NA,NA,17,NA,NA,NA,NA,5,NA
1941,6,NA,NA,16,NA,NA,NA,36,NA,NA,28,NA,NA,NA,NA,6,NA
1942,6,NA,NA,24,NA,NA,NA,38,NA,NA,33,13,NA,NA,NA,4,NA
1943,6,NA,NA,19,NA,NA,NA,29,NA,NA,23,7,NA,NA,NA,10,NA
1944,6,NA,NA,23,NA,NA,NA,42,NA,NA,25,12,NA,NA,NA,13,NA
1945,6,NA,NA,17,NA,NA,NA,31,NA,NA,22,NA,NA,NA,NA,8,NA
1946,6,NA,NA,10,NA,NA,NA,23,NA,NA,17,7,NA,NA,NA,4,NA
1947,6,NA,NA,8,NA,NA,NA,16,NA,NA,13,8,NA,NA,NA,4,NA
1948,6,NA,NA,9,NA,NA,NA,20,NA,NA,13,8,NA,NA,NA,4,NA
1949,6,NA,NA,7,NA,NA,NA,13,NA,NA,9,6,NA,NA,NA,4,NA
1950,6,NA,NA,22,NA,NA,NA,44,NA,NA,28,15,NA,NA,NA,5,NA
1951,6,NA,NA,10,NA,NA,NA,12,NA,NA,8,5,NA,NA,NA,4,NA
1952,6,NA,NA,13,NA,NA,NA,35,NA,NA,26,6,NA,NA,NA,9,NA
1953,6,NA,NA,17,NA,NA,NA,35,NA,NA,22,12,NA,NA,NA,9,NA
1954,6,NA,NA,8,NA,NA,NA,30,NA,NA,20,14,NA,NA,NA,8,NA
1955,6,NA,NA,15,NA,NA,NA,30,NA,NA,22,13,NA,NA,NA,7,NA
1956,6,NA,NA,16,NA,NA,NA,30,NA,NA,23,6,NA,NA,NA,7,NA
1957,6,NA,NA,10,NA,NA,NA,11,NA,NA,12,7,NA,NA,NA,2,NA
1958,6,NA,NA,6,NA,NA,NA,10,NA,NA,9,7,NA,NA,NA,4,NA
1959,6,NA,NA,10,NA,NA,NA,16,NA,NA,13,13,NA,NA,NA,3,NA
1960,6,NA,NA,20,NA,NA,NA,35,NA,NA,24,20,NA,NA,NA,7,NA
1961,6,NA,NA,4,NA,NA,NA,3,NA,NA,2,4,NA,NA,NA,1,NA
1962,6,NA,NA,24,NA,NA,NA,44,NA,NA,35,25,NA,NA,NA,9,NA
1963,6,NA,NA,22,NA,NA,NA,45,NA,NA,30,23,NA,NA,NA,13,NA
1964,6,NA,NA,20,NA,NA,NA,48,NA,NA,32,18,NA,NA,NA,9,NA
1965,6,NA,NA,23,NA,NA,NA,48,NA,NA,33,19,NA,NA,NA,10,NA
1966,6,NA,NA,19,NA,NA,NA,37,NA,NA,28,17,NA,NA,NA,11,NA
1967,6,NA,NA,12,NA,NA,NA,20,NA,NA,20,13,NA,NA,NA,7,NA
1968,6,NA,NA,14,NA,NA,NA,23,NA,NA,20,17,NA,NA,NA,7,NA
1969,6,NA,NA,30,NA,NA,NA,59,NA,NA,44,16,NA,NA,NA,15,NA
1970,6,NA,18,19,NA,21,NA,48,NA,NA,34,19,NA,NA,NA,13,NA
1971,6,NA,20,28,NA,29,NA,55,NA,NA,48,23,NA,NA,NA,11,NA
1972,6,NA,20,24,NA,26,NA,51,NA,NA,37,22,NA,NA,NA,17,NA
1973,6,NA,19,24,NA,25,NA,43,NA,NA,38,31,NA,NA,NA,13,NA
1974,6,NA,15,21,NA,19,NA,37,NA,NA,32,26,NA,NA,NA,10,NA
1975,6,NA,11,23,NA,21,NA,42,NA,NA,34,25,NA,NA,NA,12,NA
1976,6,NA,NA,28,NA,28,NA,49,NA,NA,38,23,NA,NA,NA,14,NA
1977,6,NA,17,27,NA,24,NA,40,NA,NA,35,23,NA,NA,NA,11,NA
1978,6,NA,22,34,NA,34,NA,62,NA,NA,49,30,NA,NA,NA,16,NA
1979,6,NA,9,21,NA,20,NA,33,NA,NA,27,23,NA,NA,NA,12,NA
1980,6,NA,22,25,NA,26,NA,60,NA,NA,40,18,NA,NA,NA,15,NA
1981,6,NA,18,26,NA,26,NA,55,NA,NA,36,25,NA,NA,NA,14,NA
1982,6,NA,14,26,NA,26,NA,40,NA,NA,36,28,NA,NA,NA,15,NA
1983,6,NA,15,20.4,NA,20.6,NA,30.5,NA,NA,30.3,20.6,NA,NA,NA,11.4,NA
1984,6,NA,4,14.1,NA,13.3,NA,27.4,NA,NA,18.8,15.7,NA,NA,0.5,7.1,NA
1985,6,NA,4.7,11.3,NA,11.1,NA,13.5,NA,NA,10.7,7.5,NA,NA,0.35,3.3,NA
1986,6,NA,25,32.7,NA,31.7,NA,65,NA,NA,50,29.3,NA,NA,2,18.6,NA
1987,6,NA,17.3,29,NA,29,NA,43.8,NA,NA,35.5,17.4,NA,NA,0.5,12.3,NA
1988,6,NA,8,9.4,NA,6,NA,15,NA,NA,18,5,NA,NA,0.5,3,NA
1989,6,NA,5,12.9,NA,11.4,NA,17,NA,NA,15,21.3,NA,NA,1.1,5.7,NA
1990,6,NA,NA,29.4,NA,28.5,NA,44,NA,NA,43,21,NA,NA,1.5,14,NA
1991,6,NA,NA,22.4,NA,32.4,NA,40,NA,NA,35,18,NA,NA,1,18,NA
1992,6,NA,NA,39.2,1200,38,1000,40,NA,NA,50,30,NA,NA,1.95,14,NA
1993,6,NA,27.6,29.8,1000,33.9,667,48,900,NA,43.5,26,NA,NA,NA,18,NA
1994,6,NA,19.9,23.7,788,28,1134,60,NA,NA,35,20,500,NA,NA,18,NA
1995,6,NA,20.7,26.5,732,27.6,1213,48,926,25,36.3,15,600,NA,1.17,16.2,NA
1996,6,25,28,26.9,702,29,1402,56.2,1114,9.5,46.4,NA,NA,0,1,19.9,NA
1997,6,NA,12.6,18,473.5,17.9,1362.3,51,1049.1,23.3,41.6,NA,NA,NA,1.2,16.7,NA
1998,6,NA,17,20.9,671.6,23.2,1138.4,52,1420.1,28.7,49.9,NA,609.8,NA,NA,17.5,NA
1999,6,NA,18.2,15.6,796.3,24.6,1315.8,60.1,1723.8,30.8,49.2,NA,NA,NA,NA,18.5,NA
2000,6,70,29.9,26,844,32.1,1165.7,67.3,1059.7,26.7,51,NA,967.4,NA,NA,20.8,NA
2001,6,NA,22.3,23.1,584,25.7,625,40.1,1004,28.6,34.3,NA,500,NA,NA,18.2,NA
2002,6,NA,15.6,27.1,571,21.5,1441,37.9,776,21.3,37.4,NA,NA,NA,NA,13.1,NA
2003,6,NA,10.6,18,635,21.2,844,22.9,786,17.8,24,NA,500,NA,NA,11.6,NA
2004,6,NA,30,25.1,1162,31.9,NA,60.1,917,32.2,33.5,NA,908,NA,NA,13.3,NA
2005,6,NA,27,21.6,NA,29.1,NA,40.1,949,25.6,68.9,NA,NA,NA,NA,25,NA
2006,6,NA,10.8,25.3,NA,21.8,NA,30.9,694,18.4,33,NA,NA,NA,NA,10.4,NA
2007,6,NA,22.2,24.2,760,23.8,NA,NA,898,27.8,47.2,NA,NA,NA,NA,13.9,NA
2008,6,NA,26.9,31.1,981,28.1,NA,NA,1134,31.4,61.9,NA,NA,NA,NA,16.8,NA
2009,6,33.8,38.7,33.7,973,41,NA,NA,1299,41.6,NA,NA,NA,NA,NA,21.1,NA
2010,6,55.6,25.6,28.3,363,29.4,NA,32,929,22.4,47.1,NA,NA,NA,NA,17.5,NA
2011,6,13.1,15.1,19.2,NA,21.1,NA,NA,500,5.1,NA,NA,NA,NA,NA,14.1,NA
2012,6,66.7,22.3,29.1,NA,28.1,NA,NA,1155,25.4,NA,NA,NA,NA,NA,19.6,1621
2013,6,51.8,38.2,47.6,745,47.4,NA,72.3,1284,37.1,49.4,NA,NA,NA,NA,24.7,NA
2014,6,28.55,35.04,38,1068.47,48.76,0,91.3,1639.67,29.5,70.27,NA,NA,0,0,27.26,NA
2015,6,30.06,31.42,30.56,NA,37.62,NA,87.23,1418.14,33.1,34.87,NA,NA,NA,NA,18.53,NA
2016,6,49.9,34.8,33,1167,47.1,NA,97.3,1478,35.4,54.4,NA,NA,NA,NA,21,NA
2017,6,NA,15.69,23,439.21,24.77,NA,NA,674.86,18.3,27.85,NA,NA,NA,NA,9.75,NA
2018,6,NA,24.8,37,NA,36.4,NA,NA,1137,30,54,NA,NA,NA,NA,20,1975
2019,6,NA,30.3,39.8,NA,52.2,NA,NA,1087,38.7,62.6,NA,NA,NA,NA,9.5,1010
2020,6,NA,35.3,43.4,NA,51.1,NA,58.7,1543,39.4,87.3,NA,NA,NA,NA,24.9,NA
2021,6,NA,30.1,36.3,NA,41.9,NA,47.3,1287,33.8,56.2,NA,NA,NA,NA,17.3,NA
2022,6,NA,39.2,53,1076.7,55.5,NA,NA,1131.2,32.7,69.5,NA,NA,NA,NA,24.6,1355.8
2023,6,NA,21,30.4,NA,27.5,NA,NA,780.2,25.3,54,NA,NA,NA,NA,23,NA
2024,6,NA,30.6,46.5,NA,42.2,NA,58.6,1212,35.8,43.1,NA,NA,NA,NA,21.6,1214
2025,6,NA,47,54.7,1387,53.3,NA,NA,1410,38.9,74.1,NA,NA,NA,NA,29,NA
