Year,RM,Spring Wheat,Durum,Canola,Barley,Oats,Peas,Lentils,Flax
2015,17,29.62,36.39,33.17,57.52,66.42,26.1,1375,22.88
2016,17,34.2,44.5,44.7,66.3,71.5,42.1,2061,21.2
2017,17,11.47,22.55,18.38,12.89,,12.2,765.92,
2018,17,,22.5,28,41,,12.2,906,
2019,17,37.4,39.5,37.7,58.3,,29.6,1152,
2020,17,39.3,34.1,26.2,48,,29.2,1532,
2021,17,11,8.5,15,10.6,,6.1,375,
2022,17,14.8,13.6,10.9,14.9,,9,657.4,
2023,17,22.8,15.2,,22.8,,14.8,609.9,
2024,17,35.1,29.2,24.1,46.2,,21.1,1077,
2025,17,35.2,31,16.4,44.3,,20.4,1382,29.3
1990,18,18.6,19.7,,18.5,35,,,10
1991,18,28.4,30.7,,45,73,,,21.1
1992,18,23.3,13.2,,50,100,,,14
1993,18,31.1,30.2,22.5,54.8,100,27.6,1200,20
1994,18,28.3,23.1,17.5,40,40,19.5,1200,15
1995,18,36.2,41.9,,56.5,54.4,29.5,1435,15
1996,18,20.3,23,12,34.4,40,20,740,10.3
1997,18,28.3,29.6,14.5,41.6,36.1,24.5,682.4,
1998,18,34.6,38.5,21.1,53,53.2,28.4,822.4,
1999,18,31.3,33.8,24,49.8,65,36.7,1077.1,
2000,18,35.8,36.2,20,56.4,55,36.1,1211.6,
2001,18,21.8,23.3,,25.5,45,19.3,706,
2002,18,30,32.6,,39.3,53.3,30.2,1428,
2003,18,21.5,23.9,,26.8,49.3,19.8,319,
2004,18,35.1,41.8,,43.7,,47.9,,
2005,18,25.8,29.4,,,,30.1,,10.9
2006,18,19.8,20.6,,20,,11.2,,
2007,18,16,17.9,,25.4,,15,,
2008,18,26.3,23.5,,,,17.5,,
2009,18,29.7,28.5,,,,16.3,,
2010,18,37.2,32.5,18.7,27.8,70.7,27.3,860,11.8
2011,18,35.8,37.9,18.3,48.7,,29.1,1153,
2012,18,29.3,33.9,,39,,26.6,787,
2013,18,38.5,40.5,32.4,36.9,,40.7,1613,
2014,18,29.16,34.39,,54.75,,37.3,1724,27.32
2015,18,20.52,34.55,,33.25,86.05,35.9,856.56,13.61
2016,18,25.2,43.5,,63.4,,32.8,1289,
2017,18,8.27,22.39,,29.7,,17.2,819.59,
2018,18,34,22.4,18,45,,17.2,768,
2019,18,46.8,42.1,27.2,64.9,,34.1,1402,
2020,18,45.4,37.4,24.2,60.9,,37,1574,
2021,18,17.1,7.1,,3.4,,8,386,
2022,18,12.6,11.9,1.9,13.1,,11.2,370.3,
2023,18,19.9,12.3,5.5,20.6,,14.3,550.9,
2024,18,25.8,26.1,,36.7,,21.2,986,
2025,18,32,25.6,,38.4,,25.8,1374,21
1990,19,27.2,23.1,,30.9,40,,,
1991,19,27,30.5,,40,50,,,22
1992,19,30.4,28.2,,40,50,,,14
1993,19,28,31.7,20,43.4,75.7,25,1350,20
1994,19,23.3,27.7,18,36.3,65,13.3,668,20
1995,19,31.9,32.9,25,39.8,72.2,20,1147,20
1996,19,19,18.6,15.9,30.2,19.9,,622,
1997,19,27.7,27,16.9,35.4,43.9,20,939.5,20
1998,19,32.3,31.7,17.8,46.1,56.9,30.7,971.8,19
1999,19,30.1,32.2,22.5,51.4,66,33.4,1131.5,
2000,19,35.1,36.8,20.2,49.8,61.8,37.4,1091.2,
2001,19,20.9,20.9,12.5,34.7,28,13.7,785,
2002,19,26.1,30.1,15.1,34.8,63.3,28.1,1032,
2003,19,23.6,23.4,,33.8,25.6,22,,
2004,19,39.6,41.6,32.6,50.9,79.6,55.5,2189,
2005,19,30.5,32.3,18.5,47.1,99.7,32.5,1271,17.4
2006,19,19.6,20.2,,23.3,18,11.6,,
2007,19,16.7,18.8,,37.5,31.1,18.1,655,
2008,19,20.5,26.2,,49.8,,30.2,,
2009,19,29.1,27.9,,59.7,,20.2,802,
2010,19,26.8,32.1,22,33.1,31.5,32.1,1312,
2011,19,28.2,31.7,20.6,22.4,29.9,27.6,1458,
2012,19,25.7,29.6,16,26.5,,26,1195,
2013,19,38.4,45.7,41.2,43.4,79.2,44.8,1315,
2014,19,27.78,35.27,30.98,25.61,50.38,31.4,1476.81,
2015,19,23.46,31.49,28.76,29.09,66.63,19.7,1183.03,
2016,19,25.5,46,44.6,,66,34.4,1789,
2017,19,22.29,27.92,5.75,20.86,,8.6,886.44,
2018,19,19.1,25,5,24,,16,808,
2019,19,21.2,33.4,26.4,47,,33.5,1272,
2020,19,25.6,31.6,29.2,41.6,,33.8,1213,
2021,19,12.6,9.6,4.1,6.3,,10.2,615,
2022,19,10.5,13.6,6.4,14.1,,13.8,412.6,
2023,19,12.5,10.7,,11.1,,15,445.6,
2024,19,18,24.3,10.2,28.1,,21,818,
2025,19,12,19.5,,25.5,27.8,16.9,956,
1990,31,35.3,36.5,18,61.8,71,,,22
1991,31,28.9,30.7,27.9,48.2,56.5,,,15
1992,31,30.2,33.3,19,72,66.8,15,,15
1993,31,25.9,35.9,20.8,49.4,44.1,10,600,15
1994,31,28.8,37.1,18.9,40.2,42.9,24.5,500,16
1995,31,26.4,26.6,20.8,41.9,39.5,32,,14.3
1996,31,32.4,32.3,22.2,53.1,65.7,39.3,,22.5
1997,31,20.8,24.6,20.1,44.6,32,24.3,650,16.1
1998,31,22.8,25.5,20.9,48.8,65.6,31.8,,15.5
1999,31,12.7,20,12.6,23.1,27.2,,,9.5
2000,31,31.7,27.9,25,51.6,68.5,33.6,1114.5,17
2001,31,27.4,29.4,20.9,50.3,66,27.5,1208,17.7
2002,31,20,23.9,13.3,31.3,66.3,24.5,,13
2003,31,25.3,24.5,18.3,51.7,63.8,24,,13.4
2004,31,36.7,27.7,28.3,56.8,51.9,47.7,,17.8
2005,31,29.9,23,24,40,60,20.1,,18.1
2006,31,31.7,,23.5,54,47.3,34.7,,16.9
2007,31,28.9,,23.1,61.5,63.7,37.1,,18.2
2008,31,38,,26.8,55.6,67.1,35.3,,17.7
2009,31,38.5,,32.9,67.1,66.1,,,22.2
2010,31,39.7,31,29.3,57.4,70.7,37.7,1452,
2011,31,25.3,,18.8,31.5,45.1,18.3,,
2012,31,34,,25.1,47.5,55.5,24.2,1089,17.2
2013,31,41.7,33.8,33.5,81.4,87.1,35.9,1655,21.5
2014,31,34.87,,23.88,44.89,61.99,11.3,,10.24
2015,31,39.95,,31.38,48.81,55.44,26.9,1000,18
2016,31,46.7,,36.6,74.1,70.7,30.9,1004,21.9
2017,31,41.11,,35.44,54.7,77.01,43.1,,22.11
2018,31,44.1,51,35.4,62.2,85,40,,
2019,31,52.2,55,37.6,83.6,74.4,44.1,2233,14.4
2020,31,54.6,50.5,40.7,81.6,85.7,49.8,1376,29.4
2021,31,43.7,38.9,31.8,57,57.2,27.9,,13
2022,31,53.2,64.9,42.7,75.9,92.4,43.5,,25.3
2023,31,48.8,,38.9,69.6,72.6,36.3,,
2024,31,61.5,66.8,40.5,83.9,103.7,53.6,1944,
2025,31,61.8,58.1,48,83.3,102.5,58,1518,
1990,32,37.5,38.4,21,59.2,62.5,,,23.5
1991,32,26.4,32.1,22.2,43,50,,,20
1992,32,27.3,30,19.1,46.8,50,20,1200,15
1993,32,27.5,27,28.6,52.7,60.4,24.7,1000,15
1994,32,28.3,32.6,17.4,51.4,43.3,23.3,754,16.8
1995,32,26.2,27.8,14.9,47.3,50.5,29.2,900,21.3
1996,32,31.4,29.4,24.6,45.8,50.8,27,1200,23
1997,32,22.5,25,24.3,45.9,42.5,23.5,900,17.7
1998,32,24.1,24.5,22.2,46.8,60.8,26.6,900,20
1999,32,19.3,25.2,20.5,31.9,24.3,26.5,873.6,15.4
2000,32,32.2,33,27,54.3,59.9,37.9,699,23.8
2001,32,26.6,22.1,19.4,48.4,66.5,23.5,,17.7
2002,32,28.3,24.3,21.1,36.3,47.3,25.9,,15.1
2003,32,28.9,30.9,21.1,45.3,49,25.3,,14.1
2004,32,37.1,28.9,24.1,54.9,65.7,30.9,,10.9
2005,32,27.5,26.4,27.7,43,54.8,17.3,,22.2
2006,32,27.1,,22.6,45.3,57,26.6,,17.2
2007,32,29.4,,23.7,47,62.5,31.5,,16.8
2008,32,32.2,,27.8,55.9,60.9,29.3,,19.8
2009,32,37.4,,32.6,63.1,,27.2,,21
2010,32,32.3,38,28.7,53.2,59,31.2,1346,16.8
2011,32,28.5,,25.6,42.8,70.3,11.6,,
2012,32,33.6,,24.7,47.9,78.7,34.6,,16.9
2013,32,42.9,,33.6,69,74.4,27.8,1655,20.5
2014,32,29.11,,24.8,40.3,74.77,22.5,,16.4
2015,32,39.91,,34.79,51.87,70.45,40.9,999.99,18.5
2016,32,41.8,47.6,35.8,59.7,88.7,38.6,974,23.8
2017,32,41.59,,31.41,60.14,81.04,37.7,,23.5
2018,32,44.7,,32.3,64,84,44,,21
2019,32,46.7,,32.9,76.3,78.2,40.1,,16.2
2020,32,56.1,,38.5,79.2,76.7,52.5,,27.6
2021,32,46,,34.7,63.1,71,36.7,,18.8
2022,32,49.5,,40.5,73.8,92.7,40.2,,30.2
2023,32,49.2,,37.6,73.5,63.5,41.5,,37.2
2024,32,57.2,54.1,36.3,83.9,114.1,49.3,,
2025,32,57.5,54.3,45.7,90.8,113.6,53,,33.4
1990,33,30.9,27.4,20,44.5,45.6,,,20
1991,33,20.5,24.3,20,41.7,40,,,16
1992,33,30.6,36.5,27.9,31.2,66.3,31,,20
1993,33,28,25,26.7,48.5,57.4,30,900,15
1994,33,26.1,27.8,21.6,48.9,58.7,18.4,,15
1995,33,26.1,20.2,18.9,44.9,56.2,29.7,1500,20.8
1996,33,35,27.5,25.3,50.3,66.2,26,1236,33.5
1997,33,25.9,24.5,20.6,47.1,51.2,23.3,1375,15.2
1998,33,28.3,27.2,23.5,53.5,51.1,27.6,1000,17.1
1999,33,23.2,29.1,25.1,47.3,39.1,40.4,,18.8
2000,33,26.8,27.6,26.7,65.3,58.3,38.8,633.7,17.6
2001,33,26.8,22.8,23.7,53.5,64.4,36.2,890,18.5
2002,33,28,28.7,23.2,51.9,52.8,31.2,870,21.1
2003,33,24.6,17,16.4,37,39.7,20.4,,11.6
2004,33,26.4,26,22.2,54.8,67.5,32.4,1000,11.2
2005,33,28.4,38,29.7,48.7,65.6,30.8,829,21.1
2006,33,31.1,30,20.6,50.7,46.8,26.9,405,17.5
2007,33,32.1,35,24.2,54.9,66.2,32.3,577,19.1
2008,33,32.8,33.3,25.8,54.7,61.5,35.6,1400,18.8
2009,33,36.1,42,32.5,57.7,62,29.3,1150,19.4
2010,33,30.7,20.3,29.2,44.2,53.5,28.1,647,16.3
2011,33,27.2,30,26.6,36.9,48.5,25.8,492,16.6
2012,33,32.2,22.7,25.5,44.9,48.7,40,1151,17.3
2013,33,42.9,26.4,35.8,67.7,77.6,38.3,1051,22.1
2014,33,38.23,24.92,31.84,37.94,79.62,35.1,822.35,22.51
2015,33,32.73,22.81,32.69,56.5,71.43,38.8,2098.78,20.67
2016,33,47.9,46.2,40.5,65.4,78.6,43.5,1195,28.6
2017,33,37.11,40.9,30.35,59.16,66.13,37.8,1417.3,22.98
2018,33,41.7,41,32.9,79,65.5,47,,24.3
2019,33,50,39.1,37.1,81.3,83,49,1468,18.9
2020,33,54.9,58.2,41.8,85.6,97.1,56.8,2169,30.9
2021,33,49.5,54.2,33.9,77.2,73.9,43.6,1922,22.6
2022,33,53,51.8,43.7,75.1,89.7,39.8,,34.8
2023,33,46.1,44.3,38.7,62.1,77.5,38.5,,25.9
2024,33,56,52.5,38.5,87.1,105.3,45.6,1265,27.3
2025,33,51.9,57.9,45.9,97.5,105.7,52.4,,26
1990,34,29.8,25.7,24,45.4,54,,,20
1991,34,23.2,25,26.4,37.1,51.5,,,15
1992,34,35.2,31.3,30,54.2,63.6,,,20
1993,34,29.4,31.5,26.8,53.8,68,,,
1994,34,25.6,27.5,22.8,56.7,60,22,,26
1995,34,25.7,26.1,20.8,39.8,43.8,33.5,1900,20
1996,34,27,28.2,20.7,50.1,58.9,33.5,1800,23
1997,34,19.9,22.3,13.9,43,42.5,27.3,,17.3
1998,34,26.1,27.7,20.1,44.4,53.5,28,1280.1,18.7
1999,34,25.1,28.8,20.8,40.4,38.1,30.5,1705.8,15.5
2000,34,29.7,33.1,24.2,49.9,54.4,32.9,1170.3,15.8
2001,34,27.4,26.1,21.1,45.3,55,32,1082,19.9
2002,34,26.1,28.7,22.9,35.6,43.7,30.7,810,18.6
2003,34,22.3,22.8,16.3,21.5,25.4,20,1100,14.6
2004,34,22.4,17.9,16.7,41.5,34.3,34.4,1200,7.7
2005,34,31.6,40.2,28.7,55.5,55.3,18.2,1550,19.6
2006,34,29.6,36.1,21.7,52.2,54.5,32.6,,17.3
2007,34,24.2,28.5,20.6,38.7,47.3,31.4,1061,17.5
2008,34,26.3,21.5,23.5,45.7,54,25.1,1160,14.8
2009,34,32.1,34.9,24,49.2,54.3,26.3,1405,20.6
2010,34,35.8,43.9,30,49.5,54.8,31,1384,22.3
2011,34,31.4,37.5,24.3,41.7,52.5,25,882,14
2012,34,33.8,33.6,28.2,48.8,64.9,33.1,1454,21.2
2013,34,44.2,50.9,36.7,65.7,70.6,38.4,1254,21.9
2014,34,33.65,43.68,31.44,53.28,60.54,31.8,1411.38,21.01
2015,34,38.06,42.48,29.63,58.04,57.92,35.1,1543.28,21.7
2016,34,52.3,54.8,35.5,73.4,79.5,37.3,1188,29.6
2017,34,46.18,51.48,30.26,65.04,71.41,34.4,1625.91,24.25
2018,34,46.2,50,36.4,68.5,73,40.5,1766,25.5
2019,34,47.5,49.7,37.9,64.9,67,37.5,1328,22.3
2020,34,50.5,48.5,37.9,77.3,91,41.1,1569,26.6
2021,34,50.3,45.2,32.4,71.7,98.8,36,1744,16.2
2022,34,53.6,53.9,40.7,80.1,115.4,30.4,1133.2,29.1
2023,34,48.2,36.5,35.6,63.1,93.3,37,1349.2,28.1
2024,34,52.5,52.1,37.8,78,111.9,32.8,1586,25.8
2025,34,61,56.7,48.5,98.6,130.9,54.4,1625,34.4
1990,35,34.3,34.9,25,50,53.4,,,20
1991,35,29.9,33.5,,30,54,,,20
1992,35,37.5,33.7,28,58.2,37.6,,,16.5
1993,35,31,41.2,35.2,64,59.2,,,
1994,35,27.2,32.6,24.2,48.8,51.2,,,
1995,35,26.7,27.5,19.4,44.8,65.4,27.4,900,22.7
1996,35,28.4,32.5,22.5,55.3,52.5,25,1400,18
1997,35,21.7,21.7,17.5,43.8,45.3,23.7,,13.5
1998,35,26.4,28.7,22.9,45.1,48.5,29.7,,20.7
1999,35,23,27.2,20.5,37.8,35,32.5,1126.6,18.7
2000,35,25.3,32.7,23.4,38.4,49.7,32.7,522.2,17.3
2001,35,20.9,21.8,20.6,44.7,34.2,33.8,616,12.7
2002,35,23.4,23,17.9,34.6,30,24.4,791,10.4
2003,35,18.3,14.8,13,26.9,23.4,16.8,,9.3
2004,35,22.6,16.1,16.6,54,48.9,40.1,,8.5
2005,35,36,37.7,15.5,44.4,55.7,22.8,,18.1
2006,35,26.9,27.6,22,43.4,,18.8,,16.6
2007,35,21.6,23.5,17.1,35,52.4,23.8,,15.7
2008,35,23.3,24.7,22,36.3,,20.5,,16.6
2009,35,30.8,34.6,30.5,,,20.7,,19.1
2010,35,29.2,35.6,37.2,35.8,52.5,28.9,1514,14.8
2011,35,17.1,38,12.5,,,8.6,191,9.7
2012,35,28.2,30.4,25.7,30.3,95,30.9,1122,15.2
2013,35,45.6,45.1,36.3,32.4,109,36.9,1280,22.7
2014,35,32.24,21.88,31.75,33.22,27.17,33.6,778.33,18.93
2015,35,29.75,35.87,27.35,41.4,34.51,30.5,1344.96,18.08
2016,35,38.4,50.4,33,59.3,66.8,34.3,1088,20
2017,35,41.51,40.39,35.58,69.22,52.55,31.3,1318.66,19.78
2018,35,41.5,48,35.6,68,48,36,1260,22
2019,35,41.6,45,35.5,71.7,,37.4,805,15.7
2020,35,50.9,57.2,39.2,81.4,52.9,45.5,1748,29
2021,35,37.5,34.9,27.6,49.5,,30,1433,15
2022,35,53,54.7,42.9,83.3,,31.2,1274.3,30.8
2023,35,41.2,36.4,30.2,63.7,,31.7,,27.1
2024,35,48.9,47.2,31.9,72.3,,32.4,1417,16.9
2025,35,59.2,54,48.9,79.4,,53.6,1794,35.6
1990,36,33.4,28.2,,33,53.4,,,14
1991,36,25.8,25,,35,45.5,,,15
1992,36,30.9,30.1,28.8,48.7,66.4,,,12
1993,36,33.7,36.9,30,50,51.5,26,,19.3
1994,36,27.9,28,19,30,56.5,18.4,,15
1995,36,27.3,28.6,22.4,29.9,47.8,22,519,22.5
1996,36,28.7,25.8,23.1,36.3,60.6,20.1,870,22.8
1997,36,15.4,17.3,14.1,30.1,54.4,21.9,1140,14.3
1998,36,19.9,20.5,22.2,50.6,66.4,30.6,1023.4,17.8
1999,36,23.8,30.6,24.4,42.8,55.9,31.1,1515.5,15.4
2000,36,28.1,28.8,24.7,44.2,59.7,29,723.9,13.1
2001,36,24.3,24.9,19.9,35.5,43.8,30.4,797,16.7
2002,36,21.2,24.6,12.7,41.4,44.4,25.3,592,12.7
2003,36,14.7,18.1,9.3,30.4,34.2,20.5,,5.9
2004,36,25,22.1,24.3,61.5,70.6,45.9,,13.8
2005,36,24.2,31.5,26.1,44.2,74.9,25.7,,20.2
2006,36,24.7,27.1,22.3,44.2,46.6,25.7,,17.2
2007,36,20.8,26.1,20.8,42,48.8,30.8,696,16.7
2008,36,24.9,25.7,22.4,34.9,62.5,32.5,1440,18.5
2009,36,28.8,39.3,31.4,45.5,,,,19.5
2010,36,28.8,39.2,28.9,30.7,49.9,45.5,1284,13.9
2011,36,19.6,24.5,16.8,,,13.6,743,15.2
2012,36,30.3,33,23.1,38.2,50,24,1078,18.3
2013,36,36.5,45,39,46.3,33.8,33.3,913,24.2
2014,36,30.16,30.19,26.72,34.84,23.41,38.7,652.52,16.3
2015,36,25.76,38.54,29.27,36.29,53.75,30.8,1432.44,15.81
2016,36,32.6,53.4,31,44.9,47.4,42.2,1371,17.2
2017,36,28.3,29.06,26.94,38.52,,18.5,1049.34,12.72
2018,36,35.1,39.5,32,58,48,40,1799,16
2019,36,45.8,51,33.4,64.9,44.6,40.5,1801,11.8
2020,36,43.5,53.8,39,72.6,55.7,37.1,1781,21.6
2021,36,30.1,33,23.3,43.2,17.6,22.7,1393,12.6
2022,36,50.3,59.9,43.5,63.2,79.8,37.7,1197.1,31.2
2023,36,34.5,37.4,27.4,53.7,14.7,30.8,1267.7,33.3
2024,36,43,44.6,31.1,69.8,49.7,25.3,1359,20.3
2025,36,46.8,51.1,46.1,64,99.7,32.5,1318,37.3
1990,37,25.4,24.1,,30.8,35,,,15
1991,37,24,24.2,,30,40,,,
1992,37,34.4,31,20,65,65,,,21
1993,37,30.7,37.4,20,65.8,65.4,,1150,20
1994,37,25.3,22.7,20,44.2,57.6,15,1416,18
1995,37,23.8,26.1,16.3,36.4,37.2,17.4,600,17.9
1996,37,27.6,28.9,19.1,44.5,59.9,25,,15
1997,37,17.3,16.9,11.8,27.5,32.5,14.4,850,10.9
1998,37,23.7,24.3,22.2,54.7,55.8,28.7,1100,17.8
1999,37,25,25.4,19.3,47.2,59.9,26.6,1004.9,15.8
2000,37,23.2,25.6,24.2,42.7,47.6,28.5,1051.3,16.3
2001,37,22.8,23.5,16.8,31.8,35.8,20.1,742,17.6
2002,37,22.8,20.8,16,24.9,50.8,16.5,754,12.8
2003,37,19.1,17.8,8.2,20.3,48.1,9.8,720,7
2004,37,22,27.5,24.8,38.6,40.2,31.6,1374,11.5
2005,37,24.2,26.8,20.4,44.3,46.5,21.3,1210,19.2
2006,37,21.3,24.5,16.9,35.6,49.3,22.4,,13.6
2007,37,20.4,22.3,17.7,30.2,39,30.3,,13.3
2008,37,26.7,27.3,20.1,52.4,36.7,28.6,,16.4
2009,37,32.4,33.3,28.7,53.9,34.2,26.9,,22.5
2010,37,22.1,25.2,25.4,32.8,36.2,23.3,974,14.5
2011,37,13.6,23.3,13.6,,,,366,
2012,37,28.4,31.9,24.2,41.5,44.5,25,993,17.8
2013,37,38.8,45.8,33.6,50.9,63,33.8,1402,19.6
2014,37,31.98,39.57,30.16,44.69,43.8,33.7,1566.69,22.52
2015,37,29.04,29.41,31.82,45.03,56.54,31.3,1203.16,22.2
2016,37,36.6,44.2,35.6,63.4,49.9,40.1,1515,30.2
2017,37,17.7,22.13,15.44,,15.85,17.3,804.48,14.48
2018,37,27.8,33.6,25.7,,58,38,1077,20.2
2019,37,33,37.5,20.2,,45.2,36.2,882,
2020,37,43.2,44.2,32.7,,21.7,41.3,1349,24.8
2021,37,22.9,28.6,21.5,,,29.7,1109,12.2
2022,37,47.8,52.9,36.6,,,40.8,1429.3,20.3
2023,37,38.1,31.3,24.6,,,32.5,1264.9,29.7
2024,37,31.8,31.8,22.4,38.1,,29.2,1070,
2025,37,43.1,46.1,42.1,88,,40.3,1552,
1990,38,32.4,33,,50,45,,,15
1991,38,26.4,28.8,,40,45,,,
1992,38,27.3,33.5,20,54.5,61,,,14
1993,38,25.1,32.2,25.7,44.9,50,20,350,20
1994,38,19,22.7,10.2,45,40,,651,9.9
1995,38,24.2,23.5,14.3,29,75,,1039,14.6
1996,38,25.4,25.1,22,35.2,45,35,1236,26.1
1997,38,20.5,20.9,14.7,30.8,15.9,22,980,15
1998,38,20.6,24.7,21.5,33.1,,27.2,708.3,13.1
1999,38,23.6,25.8,20.8,26.9,22.7,20.9,1219.5,13.8
2000,38,25.4,27.5,31.7,46.1,95,29.6,843.3,21.2
2001,38,23.8,27.7,25.2,46.8,,24.9,964,17.8
2002,38,20.5,25.7,20.2,40.5,27.1,21.1,756,15.5
2003,38,21,20,12.1,27.2,29.6,17.4,,8.4
2004,38,28.6,27.2,29.7,54.8,48.6,41.5,1188,16.1
2005,38,30.4,37.8,27.9,43.4,,33.1,1310,23.7
2006,38,23,26.4,20.2,35.4,31.1,22.7,900,13.9
2007,38,25.7,26.2,22.5,47.2,53.5,36.3,1189,13.2
2008,38,27.8,28.7,22.1,53.3,50,23.4,940,15.3
2009,38,30.1,36.3,33.5,,44.8,31.5,,22.2
2010,38,25.3,30.7,26.8,48,42.5,26.2,937,17.4
2011,38,20,26.5,20.3,32.5,,25.9,775,13.6
2012,38,24.2,29.7,26.5,21,,25.6,1126,16
2013,38,36.7,42,38,51.2,42.4,32.1,1222,27.4
2014,38,35.69,41.65,32.46,37.06,47.64,29.3,1546.31,22.3
2015,38,27.33,28.73,29.45,20.85,38.82,21,1053.36,14.79
2016,38,29.5,43.3,40.7,44.8,51.1,40.3,1751,28.4
2017,38,21.17,22.33,13.34,25,19.83,18,816.18,10.16
2018,38,34.3,29.4,23.3,39,49.3,25,1367,10.2
2019,38,37.1,39.9,27,45.8,55.4,30.6,1190,17.7
2020,38,41.1,46,37.2,55.1,53.5,37.3,1351,22.2
2021,38,33.5,30,23.8,26.5,38.7,27.5,1408,14.6
2022,38,39.1,48.4,36.4,52.3,71.9,33.5,1374.8,25.3
2023,38,35.4,32.6,24.5,45.8,30,28.9,1425.8,15.3
2024,38,20.3,23.3,14.9,7.4,2.6,26.9,1008,8.4
2025,38,47.5,47.4,38.4,61,,40.3,1844,25.6
1990,39,30.7,32.1,20,52,43.3,,,18
1991,39,21.9,30,,35,39.7,,,22.1
1992,39,30.9,33.6,30,51.8,50,,900,11
1993,39,30.4,32.9,24.5,50,67.4,16.7,1000,20
1994,39,22.8,24,20,40,50,13.3,900,18
1995,39,28.4,30.5,19.7,45,55,20,1377,25.9
1996,39,32.3,35.5,22.5,44.2,65.1,35.9,1320,20
1997,39,23.7,25.7,21.2,44.9,36.9,27.3,1273.6,16.4
1998,39,23.3,26.1,19.6,42.2,43.1,36.9,1271.3,15.3
1999,39,29.9,32.1,23.6,44.4,52.2,33,1374.5,22
2000,39,25.8,28.2,20.9,51.2,49,33.8,1126.9,17.3
2001,39,21.5,26.9,17.9,50.9,42,30.2,1246,13.5
2002,39,23.3,26.4,17.9,34.9,43.3,19.3,982,14.6
2003,39,20.3,21.6,9.3,36.1,27.8,18.4,910,9.7
2004,39,25,29.1,20.5,34.6,35,32.2,925,18.6
2005,39,27.7,32.8,20.7,53.7,52.9,27.9,1287,21.3
2006,39,22.2,25.1,18.8,34,35.4,21.6,905,14.3
2007,39,21.1,25,21.3,41.9,39.4,32.8,1450,15.4
2008,39,25.7,31.1,28.5,50,60.7,32.9,1767,18.4
2009,39,31.6,40.9,35.9,80.4,67.4,36.8,1582,24.3
2010,39,29.5,30.9,32.1,45,60.5,26.7,1443,19.3
2011,39,20.8,26.6,23.8,31.3,55,22.9,1138,14
2012,39,26,30.5,26.5,47.5,,30.4,1243,16.4
2013,39,37.2,49,41,54.2,52.3,43.3,1607,26.2
2014,39,37.12,43.59,40.45,40.89,,34.9,1757.36,26.49
2015,39,28.95,34.01,28.8,41.55,54.99,23.5,1352.15,17.89
2016,39,36.3,57.6,46.6,55,67.4,42.5,1522,24.6
2017,39,21.62,25.44,17.83,,,21.3,849.82,11.18
2018,39,37.5,37.8,31.6,,,38,1441,20
2019,39,47.1,57.5,37.8,86.4,39.9,39.6,1734,16.6
2020,39,,62.1,40.7,80.8,,46.6,1429,27.4
2021,39,,39.1,28.9,45.8,,31.1,1627,15.3
2022,39,,43.9,30.3,37.4,,31.7,1336,26.7
2023,39,,34.3,25.8,3.4,15.7,30.2,1358.1,25.5
2024,39,,22.5,11.1,29,,19.5,898,6.5
2025,39,,64.5,52.6,29,55.8,58.2,1982,29.1
1990,40,27.4,27.3,,29.3,50,,,20
1991,40,25.9,31.2,,42.9,62.9,,,20
1992,40,29.8,30.1,,57.7,53.8,,,15
1993,40,33.2,34.9,,66.3,80,,,20
1994,40,26.4,26,15,38,65,,,20
1995,40,23.5,28.1,15,55.9,66.6,,1500,12
1996,40,26.9,31.2,15,37.5,65,10,578,20
1997,40,16.4,21,9.7,40.7,40.7,17.2,975,15
1998,40,21.7,26.2,14.5,36.8,44.8,29.2,,
1999,40,27.4,27.8,27.2,44.7,61.7,38.2,1096.5,19.9
2000,40,20.4,29.5,22.7,30.9,44.5,27.8,1475.9,16.5
2001,40,21.7,25,,36.1,37,24.8,989,
2002,40,17.9,22.9,13.6,24.1,46.5,18.2,654,
2003,40,15.6,12.5,8,19.6,28.7,14,300,6.3
2004,40,18,23.3,,31.8,49.8,32.8,655,8
2005,40,25.7,27.4,16,38.8,53.9,28.4,600,17.5
2006,40,17,17.9,7.1,23.5,30.7,16.7,420,7
2007,40,15.7,18.4,13.5,24.3,31.4,21,390,
2008,40,23.9,24.8,,31.6,42.7,24.3,,12.6
2009,40,26.1,26.9,25,44,44.5,22.8,,17.9
2010,40,25.8,24,25.6,52.5,11.7,18.3,1208,20.8
2011,40,21.9,24.4,24.7,27.2,43.8,19.9,984,14
2012,40,26.4,28.3,21.9,27.8,,25.8,1076,13.5
2013,40,29.9,29.7,27.6,45.8,38.8,34.5,1511,22
2014,40,31.87,30.13,35.12,38.38,51.64,29.3,1324.68,20
2015,40,25.82,22.67,26.86,30.8,25.61,18.7,1194.36,17.56
2016,40,24.1,38.8,37.1,42.4,124.9,31.5,1536,22.8
2017,40,12.56,14.95,11.57,,19.6,11.1,516.19,10.57
2018,40,17.8,22.2,30,45,19.6,19.1,583,15.3
2019,40,28.9,38.3,29.9,46.7,,29.9,1173,17.3
2020,40,26.4,41.3,26.6,37.3,43.9,34,1383,22.9
2021,40,8.9,28,20.6,24.3,,21.6,1096,14.2
2022,40,15.7,36.6,25.9,14,,27.1,850.6,15.6
2023,40,6.3,21,18.8,24.9,14.8,23.6,858.1,43.9
2024,40,16,16.8,7.4,10.4,,13.4,757,4
2025,40,30.1,40.2,44.2,30.5,,39.4,1243,30
1990,42,29.2,26,,43.5,35.1,,,19
